date,language,active_editors,new_editors,total_editors,new_articles,total_articles,page_views
2003/02/28,new,0,0,0,0,0,0
2003/02/28,or,0,0,0,0,0,0
2003/02/28,pa,0,0,1,0,1,0
2003/02/28,pi,0,0,0,0,0,0
2003/02/28,sa,0,0,0,0,0,0
2003/02/28,sd,0,0,0,0,0,0
2003/02/28,ta,0,0,0,0,0,0
2003/02/28,te,0,0,0,0,0,0
2003/02/28,total,1,1,6,0,9,0
2003/02/28,ur,0,0,0,0,0,0
2003/03/31,as,0,0,1,0,0,0
2003/03/31,bn,0,0,0,0,0,0
2003/03/31,bh,0,0,1,0,0,0
2003/03/31,bpy,0,0,0,0,0,0
2003/03/31,gu,0,0,0,0,0,0
2003/03/31,hi,0,0,0,0,0,0
2003/03/31,kn,0,0,0,0,0,0
2003/03/31,ks,0,0,0,0,0,0
2003/03/31,ml,0,0,2,0,7,0
2003/03/31,mr,0,0,0,0,0,0
2003/03/31,ne,0,0,1,0,1,0
2003/03/31,new,0,0,0,0,0,0
2003/03/31,or,0,0,0,0,0,0
2003/03/31,pa,0,0,1,0,1,0
2003/03/31,pi,0,0,0,0,0,0
2003/03/31,sa,0,0,0,0,0,0
2003/03/31,sd,0,0,0,0,0,0
2003/03/31,ta,0,0,0,0,0,0
2003/03/31,te,0,0,0,0,0,0
2003/03/31,total,0,0,6,0,9,0
2003/03/31,ur,0,0,0,0,0,0
2003/04/30,as,0,0,1,0,0,0
2003/04/30,bn,0,0,0,0,0,0
2003/04/30,bh,0,0,1,0,0,0
2003/04/30,bpy,0,0,0,0,0,0
2003/04/30,gu,0,0,0,0,0,0
2003/04/30,hi,0,0,0,0,0,0
2003/04/30,kn,0,0,0,0,0,0
2003/04/30,ks,0,0,0,0,0,0
2003/04/30,ml,0,0,2,0,7,0
2003/04/30,mr,0,0,0,0,0,0
2003/04/30,ne,0,0,1,0,1,0
2003/04/30,new,0,0,0,0,0,0
2003/04/30,or,0,0,0,0,0,0
2003/04/30,pa,0,0,1,0,1,0
2003/04/30,pi,0,0,0,0,0,0
2003/04/30,sa,0,0,0,0,0,0
2003/04/30,sd,0,0,0,0,0,0
2003/04/30,ta,0,0,0,0,0,0
2003/04/30,te,0,0,0,0,0,0
2003/04/30,total,0,0,6,0,9,0
2003/04/30,ur,0,0,0,0,0,0
2003/05/31,as,0,0,1,0,0,0
2003/05/31,bn,0,0,0,0,0,0
2003/05/31,bh,0,0,1,0,0,0
2003/05/31,bpy,0,0,0,0,0,0
2003/05/31,gu,0,0,0,0,0,0
2003/05/31,hi,0,0,0,0,0,0
2003/05/31,kn,0,0,0,0,0,0
2003/05/31,ks,0,0,0,0,0,0
2003/05/31,ml,2,1,3,1,28,0
2003/05/31,mr,0,1,1,0,3,0
2003/05/31,ne,0,0,1,0,1,0
2003/05/31,new,0,0,0,0,0,0
2003/05/31,or,0,0,0,0,0,0
2003/05/31,pa,0,0,1,0,1,0
2003/05/31,pi,0,0,0,0,0,0
2003/05/31,sa,0,0,0,0,0,0
2003/05/31,sd,0,0,0,0,0,0
2003/05/31,ta,0,0,0,0,0,0
2003/05/31,te,0,0,0,0,0,0
2003/05/31,total,2,2,8,1,33,0
2003/05/31,ur,0,0,0,0,0,0
2003/06/30,as,0,0,1,0,0,0
2003/06/30,bn,0,0,0,0,0,0
2003/06/30,bh,0,0,1,0,0,0
2003/06/30,bpy,0,0,0,0,0,0
2003/06/30,gu,0,0,0,0,0,0
2003/06/30,hi,0,0,0,0,0,0
2003/06/30,kn,0,1,1,0,1,0
2003/06/30,ks,0,0,0,0,0,0
2003/06/30,ml,1,0,3,0,31,0
2003/06/30,mr,0,0,1,0,3,0
2003/06/30,ne,0,0,1,0,1,0
2003/06/30,new,0,0,0,0,0,0
