date,language,value
2009/11/30,mr,13.2
2009/12/31,mr,13.4
2010/01/31,mr,13.6
2010/02/28,mr,13.8
2010/03/31,mr,13.8
2010/04/30,mr,14
2010/05/31,mr,14.2
2010/06/30,mr,14
2010/07/31,mr,14.2
2010/08/31,mr,14.5
2010/09/30,mr,14.8
2010/10/31,mr,15
2010/11/30,mr,15.1
2010/12/31,mr,15.2
2011/01/31,mr,16.1
2011/02/28,mr,16.3
2011/03/31,mr,16.5
2011/04/30,mr,16.7
2011/05/31,mr,16.9
2011/06/30,mr,17.1
2011/07/31,mr,17.3
2011/08/31,mr,17.6
2011/09/30,mr,17.9
2011/10/31,mr,18.2
2011/11/30,mr,18.3
2011/12/31,mr,19.2
2012/01/31,mr,19.4
2012/02/29,mr,19.6
2012/03/31,mr,19.7
2012/04/30,mr,19.6
2012/05/31,mr,19.7
2012/06/30,mr,19.8
2012/07/31,mr,20
2012/08/31,mr,20.2
2012/09/30,mr,20.3
2012/10/31,mr,20.3
2012/11/30,mr,20.4
2012/12/31,mr,20.5
2008/01/31,ne,4.7
2008/02/29,ne,4.9
2008/03/31,ne,5
2008/04/30,ne,5.1
2008/05/31,ne,5.3
2008/06/30,ne,5.5
2008/07/31,ne,5.7
2008/08/31,ne,5.9
2008/09/30,ne,6.1
2008/10/31,ne,6.2
2008/11/30,ne,6.3
2008/12/31,ne,6.5
2009/01/31,ne,6.6
2009/02/28,ne,6.7
2009/03/31,ne,7
2009/04/30,ne,7.2
2009/05/31,ne,7.4
2009/06/30,ne,7.9
2009/07/31,ne,8
2009/08/31,ne,8.3
2009/09/30,ne,8.6
2009/10/31,ne,8.7
2009/11/30,ne,8.8
2009/12/31,ne,9
2010/01/31,ne,8.9
2010/02/28,ne,8.8
2010/03/31,ne,8.7
2010/04/30,ne,8.3
2010/05/31,ne,7.1
2010/06/30,ne,7
2010/07/31,ne,6.2
2010/08/31,ne,6.3
2010/09/30,ne,6.4
2010/10/31,ne,5.6
2010/11/30,ne,5.2
2010/12/31,ne,5.3
2011/01/31,ne,5.3
2011/02/28,ne,5.5
2011/03/31,ne,5.3
2011/04/30,ne,5.3
2011/05/31,ne,5.4
2011/06/30,ne,6.3
2011/07/31,ne,6.6
2011/08/31,ne,6.9
2011/09/30,ne,7.4
2011/10/31,ne,7.9
2011/11/30,ne,8
2011/12/31,ne,8.1
2012/01/31,ne,8.2
2012/02/29,ne,8.2
2012/03/31,ne,8.8
2012/04/30,ne,9.1
2012/05/31,ne,9
2012/06/30,ne,9.1
2012/07/31,ne,9.2
2012/08/31,ne,9.5
2012/09/30,ne,9.3
2012/10/31,ne,9.4
2012/11/30,ne,9.5
2012/12/31,ne,9.7
2008/01/31,new,2.2
2008/02/29,new,2.3
2008/03/31,new,2.3
2008/04/30,new,2.4
2008/05/31,new,2.5
2008/06/30,new,2.6
2008/07/31,new,2.6
2008/08/31,new,2.6
2008/09/30,new,2.6
2008/10/31,new,2.7
2008/11/30,new,2.7
2008/12/31,new,2.7
2009/01/31,new,2.8
2009/02/28,new,2.8
2009/03/31,new,2.8
2009/04/30,new,2.8
2009/05/31,new,2.8
2009/06/30,new,2.8
2009/07/31,new,2.9
2009/08/31,new,3
2009/09/30,new,3
2009/10/31,new,3
2009/11/30,new,3
2009/12/31,new,2.9
2010/01/31,new,3
2010/02/28,new,3
2010/03/31,new,3
2010/04/30,new,3.4
2010/05/31,new,3.5
2010/06/30,new,3.6
2010/07/31,new,3.7
2010/08/31,new,3.7
2010/09/30,new,3.8
2010/10/31,new,3.8
2010/11/30,new,3.9
2010/12/31,new,3.9
2011/01/31,new,3.9
2011/02/28,new,4
2011/03/31,new,4.1
2011/04/30,new,4.1
2011/05/31,new,4.1
2011/06/30,new,4.2
2011/07/31,new,4.2
2011/08/31,new,4.2
2011/09/30,new,4.3
2011/10/31,new,4.4
2011/11/30,new,4.4
2011/12/31,new,4.4
2012/01/31,new,4.5
2012/02/29,new,4.5
2012/03/31,new,4.5
2012/04/30,new,4.5
2012/05/31,new,4.5
2012/06/30,new,4.6
2012/07/31,new,4.6
2012/08/31,new,4.6
2012/09/30,new,4.6
2012/10/31,new,4.7
2012/11/30,new,4.7
2012/12/31,new,4.8
2008/01/31,or,8.7
2008/02/29,or,9.7
2008/03/31,or,9.7
2008/04/30,or,9.9
2008/05/31,or,11
2008/06/30,or,11.2
2008/07/31,or,11.4
2008/08/31,or,11.5
2008/09/30,or,11.7
2008/10/31,or,12.8
2008/11/30,or,12.7
2008/12/31,or,12.8
2009/01/31,or,14.3
2009/02/28,or,15.1
2009/03/31,or,15.6
2009/04/30,or,16.5
2009/05/31,or,18
2009/06/30,or,18.4
2009/07/31,or,20.4
2009/08/31,or,20.6
2009/09/30,or,20.8
2009/10/31,or,21.1
2009/11/30,or,21.4
2009/12/31,or,21.7
2010/01/31,or,22
2010/02/28,or,21.6
2010/03/31,or,22.4
2010/04/30,or,23.8
2010/05/31,or,24.1
2010/06/30,or,23.9
2010/07/31,or,24.1
2010/08/31,or,25.3
2010/09/30,or,27
2010/10/31,or,27.2
2010/11/30,or,27.4
2010/12/31,or,27.5
2011/01/31,or,28.3
2011/02/28,or,29.1
2011/03/31,or,29.5
2011/04/30,or,28.5
2011/05/31,or,22.3
2011/06/30,or,20.2
2011/07/31,or,19.9
2011/08/31,or,18.3
2011/09/30,or,18.2
2011/10/31,or,18
2011/11/30,or,17.7
2011/12/31,or,17.2
2012/01/31,or,16.2
2012/02/29,or,15.5
2012/03/31,or,15.5
2012/04/30,or,15.6
2012/05/31,or,15.7
2012/06/30,or,15.9
2012/07/31,or,16.3
2012/08/31,or,16.5
2012/09/30,or,16.7
2012/10/31,or,17.5
2012/11/30,or,17.7
2012/12/31,or,17.9
2008/01/31,pa,9.9
2008/02/29,pa,10.4
2008/03/31,pa,10.9
2008/04/30,pa,11.3
2008/05/31,pa,11.7
2008/06/30,pa,11.7
2008/07/31,pa,12.2
2008/08/31,pa,12.4
2008/09/30,pa,12.9
2008/10/31,pa,13.1
2008/11/30,pa,13.6
2008/12/31,pa,14.3
2009/01/31,pa,14.9
2009/02/28,pa,14.9
2009/03/31,pa,9
2009/04/30,pa,7.2
2009/05/31,pa,6.4
2009/06/30,pa,6.7
2009/07/31,pa,7
2009/08/31,pa,7.3
2009/09/30,pa,7.5
2009/10/31,pa,7.6
2009/11/30,pa,7.8
2009/12/31,pa,8.1
2010/01/31,pa,8.4
2010/02/28,pa,8.6
2010/03/31,pa,9.2
2010/04/30,pa,10.3
2010/05/31,pa,10.7
2010/06/30,pa,11.4
2010/07/31,pa,10.9
2010/08/31,pa,11.7
2010/09/30,pa,12.5
2010/10/31,pa,13.1
2010/11/30,pa,13.5
2010/12/31,pa,13.9
2011/01/31,pa,14.7
2011/02/28,pa,15.4
2011/03/31,pa,16.4
2011/04/30,pa,16.7
2011/05/31,pa,17.6
2011/06/30,pa,18
2011/07/31,pa,18.4
2011/08/31,pa,18.8
2011/09/30,pa,12.7
2011/10/31,pa,12.8
2011/11/30,pa,13.1
2011/12/31,pa,13.4
2012/01/31,pa,13.7
2012/02/29,pa,13.9
2012/03/31,pa,14
2012/04/30,pa,14.3
2012/05/31,pa,14.7
2012/06/30,pa,14.8
2012/07/31,pa,15
2012/08/31,pa,15.1
2012/09/30,pa,15.2
2012/10/31,pa,15.6
2012/11/30,pa,14.9
2012/12/31,pa,14.6
2008/01/31,pi,4.3
2008/02/29,pi,5.3
2008/03/31,pi,5.4
2008/04/30,pi,6
2008/05/31,pi,6.7
2008/06/30,pi,7.1
2008/07/31,pi,7.6
2008/08/31,pi,7.8
2008/09/30,pi,7.9
2008/10/31,pi,8.8
2008/11/30,pi,8.8
2008/12/31,pi,9.1
2009/01/31,pi,10.4
2009/02/28,pi,10.9
2009/03/31,pi,11.2
2009/04/30,pi,12.5
2009/05/31,pi,13.6
2009/06/30,pi,13.9
2009/07/31,pi,15.8
2009/08/31,pi,16.3
2009/09/30,pi,16.6
2009/10/31,pi,16.9
2009/11/30,pi,17
2009/12/31,pi,17.3
2010/01/31,pi,17.6
2010/02/28,pi,18.8
2010/03/31,pi,19.2
2010/04/30,pi,20.6
2010/05/31,pi,21.3
2010/06/30,pi,22.5
2010/07/31,pi,22.8
2010/08/31,pi,23.6
2010/09/30,pi,25.5
2010/10/31,pi,25.7
2010/11/30,pi,25.8
2010/12/31,pi,25.9
2011/01/31,pi,26.9
2011/02/28,pi,27.2
2011/03/31,pi,28.4
2011/04/30,pi,28.5
2011/05/31,pi,24.7
2011/06/30,pi,22
2011/07/31,pi,22.2
2011/08/31,pi,22.4
2011/09/30,pi,23
2011/10/31,pi,23.9
2011/11/30,pi,24.1
2011/12/31,pi,24.1
2012/01/31,pi,24.2
2012/02/29,pi,24.2
2012/03/31,pi,24.3
2012/04/30,pi,24.5
2012/05/31,pi,24.8
2012/06/30,pi,24.8
2012/07/31,pi,25
2012/08/31,pi,25
2012/09/30,pi,25.1
2012/10/31,pi,25.4
2012/11/30,pi,25.5
2012/12/31,pi,25.8
2008/01/31,sa,3.8
2008/02/29,sa,4.6
2008/03/31,sa,4.8
2008/04/30,sa,5.3
2008/05/31,sa,5.9
2008/06/30,sa,6.2
2008/07/31,sa,6.6
2008/08/31,sa,7
2008/09/30,sa,7.2
2008/10/31,sa,7.9
2008/11/30,sa,8.1
2008/12/31,sa,8.3
2009/01/31,sa,9.3
2009/02/28,sa,9.7
2009/03/31,sa,10.1
2009/04/30,sa,11.1
2009/05/31,sa,11.8
2009/06/30,sa,12.2
2009/07/31,sa,13.4
2009/08/31,sa,14
2009/09/30,sa,14.4
2009/10/31,sa,14.7
2009/11/30,sa,15
2009/12/31,sa,15.3
2010/01/31,sa,15.5
2010/02/28,sa,16.4
2010/03/31,sa,16.8
2010/04/30,sa,17.7
2010/05/31,sa,18.2
2010/06/30,sa,18.9
2010/07/31,sa,19.2
2010/08/31,sa,19.8
2010/09/30,sa,21
2010/10/31,sa,21
2010/11/30,sa,21
2010/12/31,sa,21.3
2011/01/31,sa,22
2011/02/28,sa,22.3
2011/03/31,sa,22.2
2011/04/30,sa,21.7
2011/05/31,sa,20.1
2011/06/30,sa,20.3
2011/07/31,sa,20.6
2011/08/31,sa,19.9
2011/09/30,sa,18.6
2011/10/31,sa,18.4
2011/11/30,sa,17.3
2011/12/31,sa,17.9
2012/01/31,sa,17.5
2012/02/29,sa,17.5
2012/03/31,sa,17.6
2012/04/30,sa,17.6
2012/05/31,sa,17.8
2012/06/30,sa,18
2012/07/31,sa,18
2012/08/31,sa,18.1
2012/09/30,sa,18.1
2012/10/31,sa,18.3
2012/11/30,sa,17.8
2012/12/31,sa,17.8
2008/01/31,sd,13
2008/02/29,sd,13.7
2008/03/31,sd,14.6
2008/04/30,sd,15.4
2008/05/31,sd,15.8
2008/06/30,sd,16
2008/07/31,sd,16.1
2008/08/31,sd,16.3
2008/09/30,sd,16.5
2008/10/31,sd,16.6
2008/11/30,sd,16.8
2008/12/31,sd,17
2009/01/31,sd,16.9
2009/02/28,sd,17
2009/03/31,sd,17.2
2009/04/30,sd,17.4
2009/05/31,sd,17.4
2009/06/30,sd,17.7
2009/07/31,sd,17.9
2009/08/31,sd,18.3
2009/09/30,sd,18.5
2009/10/31,sd,18.8
2009/11/30,sd,19.2
2009/12/31,sd,19.3
2010/01/31,sd,19.6
2010/02/28,sd,19.7
2010/03/31,sd,19.9
2010/04/30,sd,20.2
2010/05/31,sd,20.1
2010/06/30,sd,20.6
2010/07/31,sd,20.7
2010/08/31,sd,20.9
2010/09/30,sd,21.1
2010/10/31,sd,21.2
2010/11/30,sd,21.1
2010/12/31,sd,21.4
2011/01/31,sd,21.7
2011/02/28,sd,21.7
2011/03/31,sd,21.9
2011/04/30,sd,22.1
2011/05/31,sd,22.3
2011/06/30,sd,22
2011/07/31,sd,20.9
2011/08/31,sd,21
2011/09/30,sd,21.1
2011/10/31,sd,21.4
2011/11/30,sd,20.9
2011/12/31,sd,21.3
2012/01/31,sd,21.5
2012/02/29,sd,21.7
