date,language,value
2012/06/30,mr,14
2012/07/31,mr,9
2012/08/31,mr,9
2012/09/30,mr,7
2012/10/31,mr,19
2012/11/30,mr,10
2012/12/31,mr,8
2013/01/31,mr,5
2008/01/31,ne,3
2008/02/29,ne,1
2008/03/31,ne,0
2008/04/30,ne,2
2008/05/31,ne,1
2008/06/30,ne,1
2008/07/31,ne,1
2008/08/31,ne,0
2008/09/30,ne,0
2008/10/31,ne,1
2008/11/30,ne,0
2008/12/31,ne,1
2009/01/31,ne,0
2009/02/28,ne,0
2009/03/31,ne,0
2009/04/30,ne,0
2009/05/31,ne,0
2009/06/30,ne,0
2009/07/31,ne,0
2009/08/31,ne,1
2009/09/30,ne,1
2009/10/31,ne,2
2009/11/30,ne,3
2009/12/31,ne,1
2010/01/31,ne,5
2010/02/28,ne,7
2010/03/31,ne,7
2010/04/30,ne,13
2010/05/31,ne,36
2010/06/30,ne,13
2010/07/31,ne,46
2010/08/31,ne,11
2010/09/30,ne,8
2010/10/31,ne,58
2010/11/30,ne,47
2010/12/31,ne,8
2011/01/31,ne,19
2011/02/28,ne,5
2011/03/31,ne,48
2011/04/30,ne,16
2011/05/31,ne,29
2011/06/30,ne,48
2011/07/31,ne,6
2011/08/31,ne,5
2011/09/30,ne,15
2011/10/31,ne,5
2011/11/30,ne,5
2011/12/31,ne,54
2012/01/31,ne,34
2012/02/29,ne,10
2012/03/31,ne,12
2012/04/30,ne,10
2012/05/31,ne,19
2012/06/30,ne,7
2012/07/31,ne,8
2012/08/31,ne,9
2012/09/30,ne,29
2012/10/31,ne,3
2012/11/30,ne,3
2012/12/31,ne,3
2013/01/31,ne,5
2008/01/31,new,22
2008/02/29,new,7
2008/03/31,new,20
2008/04/30,new,4
2008/05/31,new,11
2008/06/30,new,5
2008/07/31,new,0
2008/08/31,new,1
2008/09/30,new,38
2008/10/31,new,0
2008/11/30,new,16
2008/12/31,new,42
2009/01/31,new,3
2009/02/28,new,60
2009/03/31,new,46
2009/04/30,new,74
2009/05/31,new,52
2009/06/30,new,48
2009/07/31,new,39
2009/08/31,new,0
2009/09/30,new,14
2009/10/31,new,55
2009/11/30,new,0
2009/12/31,new,96
2010/01/31,new,45
2010/02/28,new,29
2010/03/31,new,3
2010/04/30,new,217
2010/05/31,new,58
2010/06/30,new,0
2010/07/31,new,0
2010/08/31,new,0
2010/09/30,new,0
2010/10/31,new,0
2010/11/30,new,0
2010/12/31,new,0
2011/01/31,new,0
2011/02/28,new,0
2011/03/31,new,0
2011/04/30,new,0
2011/05/31,new,0
2011/06/30,new,0
2011/07/31,new,0
2011/08/31,new,1
2011/09/30,new,0
2011/10/31,new,0
2011/11/30,new,0
2011/12/31,new,1
2012/01/31,new,1
2012/02/29,new,1
2012/03/31,new,0
2012/04/30,new,0
2012/05/31,new,0
2012/06/30,new,0
2012/07/31,new,0
2012/08/31,new,0
2012/09/30,new,0
2012/10/31,new,1
2012/11/30,new,3
2012/12/31,new,5
2013/01/31,new,7
2008/01/31,or,0
2008/02/29,or,0
2008/03/31,or,0
2008/04/30,or,0
2008/05/31,or,0
2008/06/30,or,0
2008/07/31,or,0
2008/08/31,or,0
2008/09/30,or,0
2008/10/31,or,0
2008/11/30,or,0
2008/12/31,or,0
2009/01/31,or,0
2009/02/28,or,0
2009/03/31,or,0
2009/04/30,or,0
2009/05/31,or,0
2009/06/30,or,0
2009/07/31,or,0
2009/08/31,or,0
2009/09/30,or,0
2009/10/31,or,0
2009/11/30,or,0
2009/12/31,or,0
2010/01/31,or,0
2010/02/28,or,2
2010/03/31,or,0
2010/04/30,or,0
2010/05/31,or,0
2010/06/30,or,1
2010/07/31,or,0
2010/08/31,or,0
2010/09/30,or,0
2010/10/31,or,0
2010/11/30,or,0
2010/12/31,or,0
2011/01/31,or,0
2011/02/28,or,0
2011/03/31,or,1
2011/04/30,or,2
2011/05/31,or,9
2011/06/30,or,6
2011/07/31,or,4
2011/08/31,or,6
2011/09/30,or,3
2011/10/31,or,4
2011/11/30,or,3
2011/12/31,or,5
2012/01/31,or,6
2012/02/29,or,6
2012/03/31,or,2
2012/04/30,or,3
2012/05/31,or,4
2012/06/30,or,3
2012/07/31,or,3
2012/08/31,or,4
2012/09/30,or,4
2012/10/31,or,1
2012/11/30,or,2
2012/12/31,or,3
2013/01/31,or,5
2008/01/31,pa,1
2008/02/29,pa,0
2008/03/31,pa,0
2008/04/30,pa,0
2008/05/31,pa,0
2008/06/30,pa,1
2008/07/31,pa,1
2008/08/31,pa,1
2008/09/30,pa,0
2008/10/31,pa,0
2008/11/30,pa,0
2008/12/31,pa,0
2009/01/31,pa,0
2009/02/28,pa,1
2009/03/31,pa,12
2009/04/30,pa,11
2009/05/31,pa,9
2009/06/30,pa,0
2009/07/31,pa,0
2009/08/31,pa,0
2009/09/30,pa,1
2009/10/31,pa,1
2009/11/30,pa,0
2009/12/31,pa,0
2010/01/31,pa,0
2010/02/28,pa,2
2010/03/31,pa,1
2010/04/30,pa,1
2010/05/31,pa,1
2010/06/30,pa,0
2010/07/31,pa,7
2010/08/31,pa,0
2010/09/30,pa,0
2010/10/31,pa,0
2010/11/30,pa,0
2010/12/31,pa,0
2011/01/31,pa,0
2011/02/28,pa,0
2011/03/31,pa,0
2011/04/30,pa,0
