date,language,views
2010/03/31,bh,119365
2010/03/31,bn,2494974
2010/03/31,bpy,1002004
2010/03/31,gu,604040
2010/03/31,hi,4128519
2010/03/31,kn,992700
2010/03/31,ks,55798
2010/03/31,ml,2902965
2010/03/31,mr,2745967
2010/03/31,ne,188001
2010/03/31,new,1192329
2010/03/31,or,42600
2010/03/31,pi,160767
2010/03/31,pa,101218
2010/03/31,sa,238925
2010/03/31,sd,63592
2010/03/31,ta,2490003
2010/03/31,te,3905992
2010/03/31,ur,939471
2010/03/31,Total,24468130
2010/04/30,as,112345
2010/04/30,bh,147711
2010/04/30,bn,2418973
2010/04/30,bpy,1076674
2010/04/30,gu,677129
2010/04/30,hi,4228993
2010/04/30,kn,1058778
2010/04/30,ks,70608
2010/04/30,ml,3186281
2010/04/30,mr,2791343
2010/04/30,ne,230799
2010/04/30,new,1324221
2010/04/30,or,51767
2010/04/30,pi,225604
2010/04/30,pa,131746
2010/04/30,sa,276777
2010/04/30,sd,73944
2010/04/30,ta,2538912
2010/04/30,te,3706845
2010/04/30,ur,1079464
2010/04/30,Total,25408914
2010/05/31,as,101966
2010/05/31,bh,132259
2010/05/31,bn,2079080
2010/05/31,bpy,1041791
2010/05/31,gu,597275
2010/05/31,hi,3953928
2010/05/31,kn,1362421
2010/05/31,ks,78524
2010/05/31,ml,2537643
2010/05/31,mr,2470336
2010/05/31,ne,217569
2010/05/31,new,1505271
2010/05/31,or,60718
2010/05/31,pi,193997
2010/05/31,pa,115162
2010/05/31,sa,224810
2010/05/31,sd,71498
2010/05/31,ta,2214814
2010/05/31,te,2626422
2010/05/31,ur,1098092
2010/05/31,Total,22683576
2010/06/30,as,82165
2010/06/30,bh,106921
2010/06/30,bn,1376385
2010/06/30,bpy,476872
2010/06/30,gu,413175
2010/06/30,hi,4375919
2010/06/30,kn,854942
2010/06/30,ks,55477
2010/06/30,ml,1340893
2010/06/30,mr,2111540
2010/06/30,ne,195341
2010/06/30,new,534330
2010/06/30,or,46263
2010/06/30,pi,154265
2010/06/30,pa,90659
2010/06/30,sa,173706
2010/06/30,sd,61273
2010/06/30,ta,2134583
2010/06/30,te,1543395
2010/06/30,ur,984648
2010/06/30,Total,17112752
2010/07/31,as,98676
2010/07/31,bh,113310
2010/07/31,bn,1794844
2010/07/31,bpy,663647
2010/07/31,gu,512471
2010/07/31,hi,5133693
2010/07/31,kn,976034
2010/07/31,ks,75310
2010/07/31,ml,1651028
2010/07/31,mr,2605807
2010/07/31,ne,248274
2010/07/31,new,577959
2010/07/31,or,56892
2010/07/31,pi,190554
2010/07/31,pa,88799
2010/07/31,sa,178606
2010/07/31,sd,76882
2010/07/31,ta,2516879
2010/07/31,te,1820302
2010/07/31,ur,1034315
2010/07/31,Total,20414282
2010/08/31,as,89987
2010/08/31,bh,113591
2010/08/31,bn,1780657
2010/08/31,bpy,594876
2010/08/31,gu,538949
2010/08/31,hi,5046081
2010/08/31,kn,1050517
2010/08/31,ks,47355
2010/08/31,ml,1551437
2010/08/31,mr,2491100
2010/08/31,ne,244099
2010/08/31,new,553964
2010/08/31,or,37465
2010/08/31,pi,165585
2010/08/31,pa,91509
2010/08/31,sa,153027
2010/08/31,sd,54197
2010/08/31,ta,2631731
2010/08/31,te,1703653
2010/08/31,ur,967336
2010/08/31,Total,19907116
2010/09/30,as,74386
2010/09/30,bh,128021
2010/09/30,bn,1780128
2010/09/30,bpy,626442
2010/09/30,gu,489765
2010/09/30,hi,5329495
2010/09/30,kn,1032197
2010/09/30,ks,60042
2010/09/30,ml,1527100
2010/09/30,mr,2589715
2010/09/30,ne,242635
2010/09/30,new,548605
2010/09/30,or,44248
2010/09/30,pi,171898
2010/09/30,pa,94875
2010/09/30,sa,163423
2010/09/30,sd,54686
2010/09/30,ta,2527773
2010/09/30,te,1588038
2010/09/30,ur,985925
2010/09/30,Total,20059397
2010/10/31,as,164389
2010/10/31,bh,130670
2010/10/31,bn,1859158
2010/10/31,bpy,594525
2010/10/31,gu,481069
2010/10/31,hi,5238710
2010/10/31,kn,1084605
2010/10/31,ks,56557
2010/10/31,ml,1491325
2010/10/31,mr,2634405
2010/10/31,ne,260941
2010/10/31,new,498523
2010/10/31,or,50375
2010/10/31,pi,197299
2010/10/31,pa,100391
2010/10/31,sa,174648
2010/10/31,sd,58904
2010/10/31,ta,2690863
2010/10/31,te,1713889
2010/10/31,ur,1047544
2010/10/31,Total,20528790
2010/11/30,as,90921
2010/11/30,bh,140574
2010/11/30,bn,1998094
